t,source_integral,heat_loss_surface,reactant_supply_surface,reactant_inventory,heat_inventory,J_min,J_mean,J_max,phi_min,phi_mean,phi_max,theta_min,theta_mean,theta_max,u_min,u_mean,u_max,A_min,A_mean,A_max,D_over_D0_min,D_over_D0_mean,D_over_D0_max,M_over_M0_min,M_over_M0_mean,M_over_M0_max,geometric_skin_thickness,functional_skin_thickness,A_functional_skin_thickness,D_functional_skin_thickness,M_functional_skin_thickness,surface_q,surface_n,surface_h,mean_abs_internal_h
0.0,0.01998592311319874,1.9803921568627454e-05,0.6894983400189968,0.0260125,5e-05,1.2950023714014331,1.3000000000000003,1.304997628598567,0.11494273760564956,0.11538546883058841,0.11582990372262572,9.80392156862745e-07,5e-05,9.901960784313727e-05,0.015002371401433174,0.02,0.02499762859856683,0.9969838832501374,0.9990403212534126,1.0,0.998993615178172,0.9996798539634294,1.0,0.9994966809113657,0.9998398953190375,1.0,0.0,0.0,0.0,0.0,0.0,-0.0009426021494901571,-0.6894983400189968,1.9803921568627454e-05,2.0000000000000005e-05
0.2,0.08578216227969562,0.005989590940236315,0.3874590999936037,0.10793833618543171,0.010732933304225959,1.2971778539144083,1.3001367966076567,1.3034479086864643,0.11507939749672151,0.11537283176057858,0.11563564668280056,0.004343583876806044,0.010732933304225959,0.029993676772151954,0.0193586280333298,0.08315498565360206,0.44648700000913755,0.9982987305406666,0.9994179947507608,1.0,0.9994325882528386,0.9998059070261911,1.0,0.9997162538664591,0.9999029421053157,1.0,0.0,0.0,0.0,0.0,0.0,-0.0005157283721568401,-0.3874590999936037,0.005989590940236315,0.0052586436108367825
0.4,0.13139514489223625,0.013814844452932335,0.33435922509093796,0.15742497835820307,0.030663531491837523,1.2983120664277084,1.3002175003019505,1.3023911315211507,0.11517277442207768,0.11536546464590697,0.11553462675019525,0.008836255707441941,0.030663531491837523,0.06970711881390106,0.017568265789388353,0.12120406775961562,0.5223439641558029,0.998983064564372,0.9996601395780218,1.0,0.9996609065385815,0.999886681249886,1.0,0.9998304388923684,0.9999433366310941,1.0,0.0,0.0,0.0,0.0,0.0,-0.0003085498909793094,-0.33435922509093796,0.013814844452932335,0.012546766969762495
0.6000000000000001,0.16874001034755115,0.022108830441320913,0.3105985014047609,0.19151971933850737,0.057194464047166674,1.2990171633627152,1.3002653904841468,1.3016871817343834,0.11523505962480035,0.11536112919801393,0.11547191540695338,0.01740897803547625,0.057194464047166674,0.11239611321172821,0.018550500917228867,0.1473894787464359,0.5562878551360558,0.999408083374527,0.9998127778935552,1.0,0.9998026555119963,0.9999375823802409,1.0,0.9999013228869249,0.9999687899085654,1.0,0.0,0.0,0.0,0.0,0.0,-0.00018019750662323641,-0.3105985014047609,0.022108830441320913,0.019755175621000626
0.8,0.2008053232464294,0.03059083831449242,0.2989008915428018,0.21530277902448508,0.08895463835662966,1.2994627749092373,1.3002926881541028,1.3012257105449911,0.11527592698516204,0.11535867087130068,0.1154323177980046,0.033216058242921086,0.08895463835662966,0.15645508107235878,0.02379035524361308,0.16564755385017624,0.572998726367426,0.9996765291610489,0.9999074243225656,1.0,0.9998921647578319,0.9999691386736128,1.0,0.9999460809251373,0.9999845689908735,1.0,0.0,0.0,0.0,0.0,0.0,-9.889432796947317e-05,-0.2989008915428018,0.03059083831449242,0.02585494211518421
1.0,0.22902869542744145,0.03916557146677642,0.2935746120153096,0.23143170402786278,0.12501924522851302,1.2997456004329464,1.3003069066675197,1.3009239026173407,0.11530267043153994,0.11535739390183311,0.11540719964740397,0.0567434692025732,0.12501924522851302,0.2012552711832464,0.03130188843683741,0.17802785962996875,0.5806076971209863,0.999846844876278,0.9999636062622743,1.0,0.9999489456853333,0.99998786824028,1.0,0.9999744725168078,0.9999939340559112,1.0,0.0,0.0,0.0,0.0,0.0,-4.718159244947173e-05,-0.2935746120153096,0.03916557146677642,0.030587600029327658
1.2000000000000002,0.25428276497652885,0.04781741426302208,0.2920661526496098,0.2415704502706324,0.16469754723890523,1.2999240815792177,1.3003128123185264,1.3007257081451542,0.11532023935615239,0.11535686326762373,0.11539135409951935,0.08723195721162799,0.16469754723890526,0.24693119749496445,0.03907005473156856,0.185809327479625,0.582762639071986,0.999954299374641,0.9999930248884036,1.0,0.9999847662261238,0.9999976749337063,1.0,0.9999923830840503,0.9999988374632162,1.0,0.0,0.0,0.0,0.0,0.0,-1.4369366865357724e-05,-0.2920661526496098,0.04781741426302208,0.034178846758490866
1.4000000000000001,0.27712573192805934,0.056568198888163904,0.29303551513875886,0.2468692757543684,0.20743856652542067,1.3000363605414642,1.3003134576474995,1.3005944715518103,0.11533187575449771,0.11535680306659152,0.11538138820788452,0.12356764802328153,0.20743856652542067,0.29327089684227065,0.045766128763918994,0.18987450557755992,0.5813778355160587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.313602826130138e-06,-0.29303551513875886,0.056568198888163904,0.03674716284896981
1.6,0.2979074541297361,0.06545040668351186,0.2957152469125148,0.24818467481771345,0.25277479994894647,1.3001063199468146,1.3003108028500696,1.3005064754182145,0.11533967945200986,0.1153570372571075,0.11537517947465732,0.16463445743480956,0.25277479994894647,0.34069628699069393,0.05069735963304691,0.19088019618480928,0.577549647267836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.9203975701098663e-05,-0.2957152469125148,0.06545040668351186,0.03865924095831988
1.8,0.316818396028035,0.07449260942459095,0.2996425207905609,0.2461996271951519,0.3002862197472872,1.3001490978490176,1.3003061073470372,1.3004464218463665,0.11534500574581984,0.11535745320161452,0.11537138336530926,0.20942290682564915,0.3002862197472872,0.38901765329196386,0.053616619504508,0.18935024047452598,0.5719392560134844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.708955370017696e-05,-0.2996425207905609,0.07449260942459095,0.04001446793760606
