t,J_mean,theta_mean,u_mean,W_inventory,source_integral,source_mean,collapsed_skin_thickness,front_position,reactant_penetration_depth,heat_source_localization,min_A,mean_A,min_D,mean_D,min_M,mean_M,surface_q,surface_n,surface_h
0.0,1.3000000000000003,5e-05,0.02,0.0260125,0.020001348103315886,0.020001348103315886,0.0,,0.0,1.2497990250800703,1.0,1.0,2.0,2.0,1.0,1.0,-0.0009412736463271787,-0.6894983400189968,1.9803921568627454e-05
0.2,1.3001117041033778,0.010750060342216879,0.08316667820467037,0.10792950860389142,0.0859155658306899,0.0859155658306899,0.0,,0.0,5.435422830770771,1.0,1.0,2.0,2.0,1.0,1.0,-0.00023838129574911548,-0.3874838546980508,0.006001565941385716
0.4,1.3001036298153221,0.030707687128050606,0.12124941188067613,0.15738062046313483,0.13156472721747783,0.13156472721747783,0.0,,0.019607843137254905,4.404410690420978,1.0,1.0,2.0,2.0,1.0,1.0,0.0003034626974652288,-0.33428060313647556,0.013837209180944105
0.6000000000000001,1.2999955490439066,0.05727101105406167,0.1474826997538642,0.1914106295190143,0.16895082400269013,0.16895082400269013,0.0,,0.03921568627450981,3.887128483441874,1.0,1.0,2.0,2.0,1.0,1.0,0.0007664403520524776,-0.3104081299570631,0.02214045299679968
0.8,1.299800669599156,0.08907137112322654,0.16578965008961266,0.2150975887482712,0.2010711457088362,0.2010711457088362,0.0,,0.05882352941176472,3.5846061423791014,1.0,1.0,2.0,2.0,1.0,1.0,0.001175100035986476,-0.29860736986893444,0.03063242670000635
1.0,1.299527728538751,0.12518574762249,0.17820726415566412,0.23109953755368196,0.22935518207777206,0.22935518207777206,0.0,,0.05882352941176472,3.394517902519066,1.0,1.0,2.0,2.0,1.0,1.0,0.0015503885899031816,-0.29319349434910075,0.039218830014177794
1.2000000000000002,1.2991815066259518,0.16492319980285575,0.1860073991525387,0.2410836325519093,0.25466644387624676,0.25466644387624676,0.0,,0.05882352941176472,3.272328104458441,1.0,1.0,2.0,2.0,1.0,1.0,0.0019106293974614774,-0.2916149429791376,0.04788426606943577
1.4000000000000001,1.2987635537326871,0.20773123666713456,0.190071128055881,0.24620473323382852,0.27756027977148673,0.27756027977148673,0.0,,0.05882352941176472,3.1959962737180563,1.0,1.0,2.0,2.0,1.0,1.0,0.0022695326117403297,-0.29253158498734555,0.05665048631884351
1.6,1.2982732140691977,0.25314019144754446,0.19105745767562715,0.2473245652999747,0.29837824516118033,0.29837824516118033,0.0,,0.05882352941176472,3.1537978485220126,1.0,1.0,2.0,2.0,1.0,1.0,0.002635468885511069,-0.2951743823979962,0.06554997896093703
1.8,1.2977086415616073,0.3007260274970978,0.18949477033318282,0.24513237471011842,0.31730539513850875,0.31730539513850875,0.0,,0.05882352941176472,3.139197980253185,1.0,1.0,2.0,2.0,1.0,1.0,0.003012152953082242,-0.29907450710087174,0.07460995510414324
2.0,1.29706761378811,0.35008591990028287,0.18583458222547192,0.24021638153793629,0.33441813279525073,0.3344181327952508,0.0,,0.03921568627450981,3.1484110738871047,1.0,1.0,2.0,2.0,1.0,1.0,0.003399836727778008,-0.3039290707506457,0.08384428324959046
2.2,1.2963481080183739,0.4008240221953508,0.18048345215229397,0.23310616243303545,0.34972882435353936,0.34972882435353936,0.0,,0.03921568627450981,3.1791337563332998,1.0,1.0,2.0,2.0,1.0,1.0,0.003796444440042096,-0.30952644036686744,0.09325057347872984
2.4000000000000004,1.2955486716561115,0.4525461064344846,0.17381981009713887,0.22429487723971048,0.36322674026015095,0.36322674026015095,0.0,,0.03921568627450981,3.2298252118575053,1.0,1.0,2.0,2.0,1.0,1.0,0.004198482093429726,-0.31570418833368386,0.10281045175980648
2.6,1.294668634033376,0.5048616756004192,0.16620020289940401,0.2142473903452525,0.3749140940634173,0.3749140940634173,0.0,,0.03921568627450981,3.2992620250636544,1.0,1.0,2.0,2.0,1.0,1.0,0.004601715346528659,-0.3223253694208814,0.11249168998883007
2.8000000000000003,1.2937082025810875,0.5573919575292154,0.15795807130267947,0.20339851752418303,0.38483468122931197,0.38483468122931197,0.0,,0.019607843137254905,3.386239448431285,1.0,1.0,2.0,2.0,1.0,1.0,0.005001679095819181,-0.3292664252061265,0.12225147324090485
3.0,1.2926684676933826,0.6097819767936833,0.14939755187366832,0.19214476579002215,0.39309153408974834,0.39309153408974834,0.0,,0.019607843137254905,3.4893715809969343,1.0,1.0,2.0,2.0,1.0,1.0,0.0053940630630864295,-0.3364127046438284,0.13204038032498588
3.2,1.2915513406383012,0.6617140122502069,0.14078526498042604,0.18083349626022474,0.39985171161642824,0.39985171161642824,0.0,,0.019607843137254905,3.6069742320182137,1.0,1.0,2.0,2.0,1.0,1.0,0.005775008133718798,-0.3436583198276851,0.14180661254705584
3.4000000000000004,1.2903594407432961,0.7129197937112849,0.13234255220290742,0.1697527546347835,0.4053377021376488,0.4053377021376488,0.0,,0.0,3.737032742033468,1.0,1.0,2.0,2.0,1.0,1.0,0.006141325788533714,-0.3509083950486828,0.15150009555709
3.6,1.2890959458118507,0.7631890605470046,0.12424025300967824,0.15912449349640106,0.4098075826197333,0.4098075826197333,0.0,,0.0,3.8772570046429475,1.0,1.0,2.0,2.0,1.0,1.0,0.006490632579403133,-0.35808206549183513,0.16107600718898488
3.8000000000000003,1.2877644249749667,0.8123727847094884,0.11659749488408648,0.14910308543740614,0.41352904746616925,0.41352904746616925,0.0,,0.0,4.0252111825502395,1.0,1.0,2.0,2.0,1.0,1.0,0.006821397444495891,-0.3651148094665413,0.17049732394483857
4.0,1.2863686698400911,0.8603806875244084,0.10948480229275011,0.13977949139899956,0.4167533401532169,0.4167533401532169,0.0,,0.0,4.17849020167584,1.0,1.0,2.0,2.0,1.0,1.0,0.00713290408016011,-0.3719594279564432,0.17973618804718694
4.2,1.2849125469112643,0.9071740977289391,0.1029306370778477,0.13118989955867869,0.41969372906888724,0.41969372906888724,0.0,,0.0,4.334909975055894,1.0,1.0,2.0,2.0,1.0,1.0,0.007425146804093258,-0.37858542856399463,0.18877406749115638
4.4,1.2833998601174783,0.9527547897879065,0.09693103801806069,0.12332835544679266,0.42251519187816167,0.42251519187816167,0.0,,0.0,4.4926380912954675,1.0,1.0,2.0,2.0,1.0,1.0,0.007698666049193004,-0.3849768450991917,0.1976009006975966
