t,source_integral,heat_loss_surface,reactant_supply_surface,reactant_inventory,heat_inventory,J_min,J_mean,J_max,phi_min,phi_mean,phi_max,theta_min,theta_mean,theta_max,u_min,u_mean,u_max,A_min,A_mean,A_max,D_over_D0_min,D_over_D0_mean,D_over_D0_max,M_over_M0_min,M_over_M0_mean,M_over_M0_max,geometric_skin_thickness,functional_skin_thickness,A_functional_skin_thickness,D_functional_skin_thickness,M_functional_skin_thickness,surface_q,surface_n,surface_h,mean_abs_internal_h
0.0,0.020001348144364724,1.967741935483871e-05,0.6894955077750986,0.026012500000000004,4.9999999999999996e-05,1.2950064174641447,1.2999999999999998,1.3049935825358554,0.11494309397945156,0.11538546883058842,0.11582954182862426,1.6129032258064516e-06,4.9999999999999996e-05,9.838709677419355e-05,0.015006417464144738,0.02,0.024993582535855263,1.0,1.0,1.0,0.9989944328798402,0.999680026331643,1.0,0.9994970899680228,0.9998399815031443,1.0,0.0,0.0,0.0,0.0,0.0,-0.0009405127121299428,-0.6894955077750986,1.967741935483871e-05,2e-05
0.2,0.08711183903794947,0.006112184891541139,0.3929605794820547,0.10937342170933664,0.010877498004543072,1.2965667422319327,1.3001118640981193,1.3034374727102656,0.11508031888027721,0.11537507552400256,0.11569014931062274,0.004349729092321347,0.010877498004543072,0.030560924457705693,0.01940023620766803,0.08428000162423199,0.43862774359706475,1.0,1.0,1.0,0.9993094160024663,0.9997969662863226,1.0,0.9996546483613921,0.9998984696266203,1.0,0.0,0.0,0.0,0.0,0.0,-0.0002352500382218764,-0.3929605794820547,0.006112184891541139,0.005432739680717238
0.4,0.13344651741987337,0.014100716539959016,0.3382920089918162,0.15943415639527464,0.031109308637721485,1.296658281366776,1.300102414508565,1.3025304572634184,0.11516045491569231,0.11537580399416261,0.115681982026821,0.008872820341768409,0.031109308637721485,0.07086950568666525,0.017606458420504636,0.12283288635865862,0.5167257014402625,1.0,1.0,1.0,0.9993278730275854,0.9998298820468116,1.0,0.9996638800198229,0.999914930039457,1.0,0.0,0.0,0.0,0.0,0.0,0.00031393013009818616,-0.3382920089918162,0.014100716539959016,0.012888272388565183
0.6000000000000001,0.17137346751333576,0.022559947184224403,0.3139092685532257,0.1937752218147583,0.05803629999058504,1.2961363856871924,1.2999915742019594,1.3023854097347987,0.11517328041208946,0.11538569156181017,0.11572856194486987,0.017580838437946573,0.05803629999058504,0.11415763056041843,0.018700796471500376,0.1493074428590255,0.5515581877811061,1.0,1.0,1.0,0.9992226106091321,0.9998040154836131,1.0,0.9996112297258452,0.9999019930171792,1.0,0.0,0.0,0.0,0.0,0.0,0.0007834660273966787,-0.3139092685532257,0.022559947184224403,0.020239835264098775
0.8,0.20397027264137765,0.031210277691826382,0.30193196137943656,0.21760827536975005,0.09026989091130513,1.2952354534919985,1.2997926734531826,1.302754299879771,0.11514066774820336,0.11540350444889319,0.11580905973164565,0.033647250096586916,0.09026989091130515,0.15869518184117468,0.024088172381435912,0.1677294874230359,0.5686686266008049,1.0,1.0,1.0,0.9990407128464044,0.9997434657485561,1.0,0.9995202413275007,0.9998717090136902,1.0,0.0,0.0,0.0,0.0,0.0,0.0011982418535740752,-0.30193196137943656,0.031210277691826382,0.02638962319283698
1.0,0.23269791300149015,0.039958814906743335,0.29649875397072417,0.23364675536506802,0.12687713586571248,1.2941036150705345,1.2995145047679957,1.3033380846761196,0.11508909450557113,0.11542845906637211,0.11591034771340494,0.057552468049708,0.12687713586571248,0.20438794139648567,0.03174125016023987,0.18017830196173382,0.576430351470394,1.0,1.0,1.0,0.9988118598040446,0.9996603845203792,1.0,0.9994057533198056,0.9998301530154357,1.0,0.0,0.0,0.0,0.0,0.0,0.0015795275667456476,-0.29649875397072417,0.039958814906743335,0.03129539697663965
1.2000000000000002,0.2584352228260638,0.04879196104975672,0.2949893877524076,0.2435863102444844,0.16716129357032938,1.2928464355696685,1.299161845047236,1.3039418422119504,0.11503580538956132,0.11546012549242392,0.11602306033655521,0.08852043982230583,0.16716129357032938,0.25058751395941675,0.03961614254416975,0.1879474145468846,0.578586588925132,1.0,1.0,1.0,0.9985572244113884,0.9995635707165891,1.0,0.9992783517915844,0.9997817239048359,1.0,0.0,0.0,0.0,0.0,0.0,0.0019459102154688601,-0.2949893877524076,0.04879196104975672,0.03486358845520044
1.4000000000000001,0.2817444986869684,0.057733219988416754,0.2960323235824548,0.2485986888461903,0.21056587397130477,1.2915307627382164,1.2987361959586077,1.3044596268395257,0.11499014374513329,0.11549835764680878,0.11614125216961933,0.1254190318897418,0.21056587397130477,0.29764900495665303,0.04636982771389905,0.19193076542619955,0.5770966805964931,1.0,1.0,1.0,0.9982902455003204,0.9994577814990385,1.0,0.9991447569932842,0.9997288001231658,1.0,0.0,0.0,0.0,0.0,0.0,0.002311277362934419,-0.2960323235824548,0.057733219988416754,0.03745066147017263
1.6,0.30296862301427246,0.06681654309314906,0.29884258657102136,0.24955719501572618,0.2566176810901724,1.2901819822551999,1.2982368270429367,1.3048411993704014,0.11495651736960517,0.115543209446608,0.11626266841659379,0.16711532518927408,0.2566176810901724,0.34597063072791473,0.051306037772905544,0.19279621321208212,0.5730820191842552,1.0,1.0,1.0,0.998016020259577,0.999346407919792,1.0,0.9990075175698454,0.9996730771317175,1.0,0.0,0.0,0.0,0.0,0.0,0.002684088500394158,-0.29884258657102136,0.06681654309314906,0.03942026563216742
1.8,0.3222898759307251,0.07607015853155245,0.30294257244150163,0.24716042170612984,0.3048887348505128,1.2888155629824698,1.297661807524521,1.305068446438193,0.1149365003876859,0.11559484990782368,0.11638593163236054,0.2125844767872202,0.3048887348505128,0.3952229409279869,0.054180933052022415,0.19107929761987072,0.5672248965121405,1.0,1.0,1.0,0.9977376620757659,0.9992300577193951,1.0,0.9988681904774291,0.9996148584628668,1.0,0.0,0.0,0.0,0.0,0.0,0.0030680725323114916,-0.30294257244150163,0.07607015853155245,0.040818859898271546
