t,source_integral,heat_loss_surface,reactant_supply_surface,reactant_inventory,heat_inventory,J_min,J_mean,J_max,phi_min,phi_mean,phi_max,theta_min,theta_mean,theta_max,u_min,u_mean,u_max,A_min,A_mean,A_max,D_over_D0_min,D_over_D0_mean,D_over_D0_max,M_over_M0_min,M_over_M0_mean,M_over_M0_max,geometric_skin_thickness,functional_skin_thickness,A_functional_skin_thickness,D_functional_skin_thickness,M_functional_skin_thickness,surface_q,surface_n,surface_h,mean_abs_internal_h
0.0,0.019985933497311596,1.967741935483871e-05,0.19699871650717105,0.026012500000000004,4.9999999999999996e-05,1.2950064174641447,1.2999999999999998,1.3049935825358554,0.11494309397945156,0.11538546883058842,0.11582954182862426,1.6129032258064516e-06,4.9999999999999996e-05,9.838709677419355e-05,0.015006417464144738,0.02,0.024993582535855263,0.9969863314216022,0.9990408383580583,1.0,0.9989944328798402,0.999680026331643,1.0,0.9994970899680228,0.9998399815031443,1.0,0.0,0.0,0.0,0.0,0.0,-0.0009405127121299428,-0.19699871650717105,1.967741935483871e-05,2e-05
0.2,0.04258869919112017,0.0025164261050085917,0.16448472381247004,0.05464348015172852,0.006196052467577771,1.2969711478011228,1.3001262051602687,1.303435830420894,0.1150804638779673,0.11537378112759178,0.11565407623315993,0.004184699077426103,0.006196052467577771,0.012582130525042957,0.01865381802953925,0.04207994657321095,0.17757638093764996,0.9981739263557486,0.9994088645985122,1.0,0.999390937866795,0.9998028582177937,1.0,0.9996954225450456,0.9999014170225304,1.0,0.0,0.0,0.0,0.0,0.0,-0.0003948510868118371,-0.16448472381247004,0.0025164261050085917,0.0017841520235877667
0.4,0.0605870228978096,0.005934278553727636,0.15478658642708934,0.07609101494805143,0.015731658464409836,1.2976969381037808,1.3001675130334203,1.3024217267689966,0.11517006889321087,0.11536993837721501,0.11558939194168309,0.008208132346244101,0.01573165846440984,0.02986804582898467,0.017171255374181432,0.058587111524967574,0.2260670678645533,0.9986120230971857,0.9995985774065883,1.0,0.9995371267924253,0.9998661436144659,1.0,0.9997685366058823,0.9999330656984144,1.0,0.0,0.0,0.0,0.0,0.0,-3.428112997845567e-05,-0.15478658642708934,0.005934278553727636,0.004517023752237992
0.6000000000000001,0.0757052569848874,0.00961075110280727,0.14931856624876444,0.09278533849642273,0.027850026757336072,1.2978996040593607,1.300145079636754,1.3019148094086526,0.1152149118482891,0.11537187614626569,0.11557134275321006,0.01311616840242295,0.027850026757336072,0.04867390559762574,0.015778751858101528,0.07143303636725301,0.2534071687561779,0.9987342960622398,0.9996594258010695,1.0,0.9995779205435985,0.9998864376749188,1.0,0.9997889379959869,0.9999432141370342,1.0,0.0,0.0,0.0,0.0,0.0,0.0002480793400761322,-0.14931856624876444,0.00961075110280727,0.007476763370950383
0.8,0.08858982172273078,0.013352591810404211,0.1459116440154214,0.1058199074193425,0.04201687175248568,1.2977899093020728,1.3000717896559633,1.3017680340529052,0.11522790241898338,0.11537837889884121,0.11558111133771043,0.020590534614965236,0.04201687175248568,0.0680361786404653,0.0165711497842813,0.08147022488009485,0.27044177992289314,0.9986681179207137,0.9996410415775714,1.0,0.9995558420400948,0.9998803055546709,1.0,0.9997778963525655,0.9999401475709583,1.0,0.0,0.0,0.0,0.0,0.0,0.0004775924401500542,-0.1459116440154214,0.013352591810404211,0.010068565146881822
1.0,0.0996376486677109,0.01707496134066551,0.14372275993672137,0.11591669899646873,0.05782408329657857,1.2974916989928522,1.2999564072383987,1.3018148098362052,0.11522376214084785,0.11538864553326983,0.1156076760386475,0.031060298144013374,0.05782408329657857,0.0875093290193582,0.018886962763802702,0.08925508020609908,0.28138620031639316,0.9984881714817918,0.9995744630443,1.0,0.9994958029632547,0.9998580983187827,1.0,0.9997478696936029,0.9999290421532112,1.0,0.0,0.0,0.0,0.0,0.0,0.0006715133421320574,-0.14372275993672137,0.01707496134066551,0.012107267659550936
1.2000000000000002,0.10914354800715642,0.020744378553183684,0.14232149918612408,0.12360874399082505,0.07494287484886392,1.297088965450126,1.2998046656572566,1.3019361567027978,0.11521302271831871,0.1154021590155207,0.11564357110072693,0.044350658042606024,0.07494287484886393,0.10676344645936707,0.02192872797998823,0.0951956308460685,0.28839250406937966,0.9982450651027416,0.9994783431719586,1.0,0.9994146791329901,0.9998260345564499,1.0,0.9997072967246071,0.9999130072947828,1.0,0.0,0.0,0.0,0.0,0.0,0.0008430942344807013,-0.14232149918612408,0.020744378553183684,0.013527230702776671
1.4000000000000001,0.11734117342820334,0.02435421012538453,0.1414559278678389,0.12931049590201593,0.09310064178988331,1.296636846828815,1.2996200052501883,1.3020590069177143,0.11520215228577539,0.11541860914631781,0.11568389435087784,0.060049880909747985,0.09310064178988331,0.12607745549399133,0.025090349587612474,0.09960853682564949,0.29272036066080553,0.9979720267835224,0.9993647307906148,1.0,0.9993235514025707,0.9997881310146739,1.0,0.9996617184783692,0.99989405142776,1.0,0.0,0.0,0.0,0.0,0.0,0.001002026689004093,-0.1414559278678389,0.02435421012538453,0.014535689086604487
1.6,0.12441766121613948,0.02790982366039333,0.14096688616866015,0.1333542778115387,0.11206662695716005,1.2961644550209532,1.2994042668526837,1.3021423880153848,0.11519477545663596,0.11543782879634408,0.11572605576317486,0.07769252899097887,0.11206662695716005,0.14516222596431544,0.027989357500011965,0.1027479275595867,0.2951655691566993,0.9976866083949464,0.9992409309352575,1.0,0.9992282739976313,0.9997468233177197,1.0,0.9996140625174973,0.9998733924406749,1.0,0.0,0.0,0.0,0.0,0.0,0.0011546869694541856,-0.14096688616866015,0.02790982366039333,0.015103779624708309
1.8,0.13052266615168148,0.0314197689700364,0.14074906954169356,0.13601288660372668,0.1316421164297109,1.295691263619107,1.2991582999255091,1.3021657979687526,0.1151927045188753,0.1154597402793619,0.11576831936106605,0.0968373387669538,0.1316421164297109,0.16415743411708653,0.030417664213614175,0.10482278932490265,0.29625465229153225,0.9974005665266548,0.9991092185792807,1.0,0.9991327702303162,0.9997028703064418,1.0,0.9995662910540271,0.9998514098183537,1.0,0.0,0.0,0.0,0.0,0.0,0.001304734130688212,-0.14074906954169356,0.0314197689700364,0.015371594820854366
