t,J_mean,theta_mean,u_mean,W_inventory,source_integral,source_mean,collapsed_skin_thickness,front_position,reactant_penetration_depth,heat_source_localization,min_A,mean_A,min_D,mean_D,min_M,mean_M,surface_q,surface_n,surface_h
0.0,1.3000000000000003,5e-05,0.02,0.0260125,0.0,0.0,0.0,,0.0,0.0,0.9969838832501374,0.9990403212534126,1.997987230356344,1.9993597079268588,0.9994966809113657,0.9998398953190375,-0.0009412736463271787,-0.6894983400189968,1.9803921568627454e-05
0.2,1.3001366285952456,4.703739761304795e-05,0.09078942610980542,0.11785254143178672,0.0,0.0,0.0,,0.0,0.0,0.9982980479642356,0.9994177647626571,1.9988647209377255,1.9996116605838434,0.9997161399421359,0.9999029037292295,-0.0005151041523036581,-0.3733527897773453,1.2455519980382615e-05
0.4,1.3002172301413373,4.48150492157962e-05,0.14229690286099822,0.18482873782994455,0.0,0.0,0.0,,0.03921568627450981,0.0,0.9989822516657538,0.9996598318309771,1.9993212707768486,1.9997731572267485,0.9998303032942862,0.9999432853060656,-0.0003081282412488173,-0.30441176246868984,9.987516110403836e-06
0.6000000000000001,1.3002650469117527,4.298139576319688e-05,0.1858482166349984,0.2415030683788425,0.0,0.0,0.0,,0.07843137254901962,0.0,0.9994072899048465,0.9998124748421976,1.9996047818352,1.9998749626653631,0.9999011905766607,0.99996873938098,-0.00017987305967812062,-0.2652457338915298,8.459817223044508e-06
0.8,1.3002922847636538,4.139686470576026e-05,0.22445470044184537,0.29174897410979395,0.0,0.0,0.0,,0.11764705882352944,0.0,0.9996758096075301,0.9999071570291965,1.999783849709718,1.9999380991233309,0.999945960967175,0.99998452443313,-9.861484434979528e-05,-0.23869064958708294,7.451681690740536e-06
1.0,1.3003064496355718,3.997979154108904e-05,0.2595596690562516,0.33743210229467385,0.0,0.0,0.0,,0.15686274509803924,0.0,0.9998462160816315,0.9999634020234636,1.9998974721313365,1.9999756003112006,0.9999743677042939,0.9999939000129368,-4.6922242740804476e-05,-0.21901656270464795,6.760139272459478e-06
1.2000000000000002,1.3003123044729825,3.86797134105789e-05,0.2919976496428404,0.37963661549476085,0.0,0.0,0.0,,0.19607843137254904,0.0,0.9999537502024972,0.9999929038365774,1.999969166326262,1.9999952691644425,0.9999922915518524,0.9999988172873641,-1.4119596079553709e-05,-0.20359476268550392,6.266521931143731e-06
1.4000000000000001,1.300312900439334,3.746489831314662e-05,0.3223009298739946,0.4190565619684874,0.0,0.0,0.0,,0.21568627450980396,0.0,1.0,1.0,2.0,2.0,1.0,1.0,6.556966152829191e-06,-0.19098976379690716,5.898091791072063e-06
1.6,1.300310197562487,3.631518657532533e-05,0.35082894705858186,0.45616161470000427,0.0,0.0,0.0,,0.23529411764705888,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.9441134685133088e-05,-0.18033235742177733,5.609608161313136e-06
1.8,1.3003054551614301,3.521763778995814e-05,0.37783389188596916,0.49128162256793567,0.0,0.0,0.0,,0.27450980392156865,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.7318953829361114e-05,-0.1710645250243531,5.372797986541936e-06
