case_id,A,D_over_D0,J,M_over_M0,functional_barrier,geometric_collapsed,phi,t,x
baseline_default,1.0,1.0,1.304997628598567,1.0,False,False,0.11494273760564956,0.0,0.00980392156862745
baseline_default,1.0,1.0,1.3035895596153222,1.0,False,False,0.11506689271450109,0.0,0.24509803921568626
baseline_default,1.0,1.0,1.3003078045306697,1.0,False,False,0.1153573019229402,0.0,0.4803921568627451
baseline_default,0.998110056528802,0.9993696215096672,1.2968653809705295,0.9996847610620704,False,False,0.11566350848824813,0.0,0.7156862745098039
baseline_default,0.9970182513187642,0.9990050941646372,1.2950591726395937,0.9995024232786415,False,False,0.11582482342816006,0.0,0.9509803921568627
baseline_default,1.0,1.0,1.3030014935299454,1.0,False,False,0.11511882430283087,0.2,0.16666666666666666
baseline_default,1.0,1.0,1.3013429028865782,1.0,False,False,0.1152655458198427,0.2,0.4019607843137255
baseline_default,0.9996395847125787,0.9998798471332827,1.299401436067626,0.9999399217617635,False,False,0.1154377668335849,0.2,0.6372549019607843
baseline_default,0.9975826930841362,0.9991935808259663,1.2959925238173353,0.9995967090830683,False,False,0.1157414084135117,0.2,0.8725490196078431
baseline_default,1.0,1.0,1.3028696205274137,1.0,False,False,0.11513047632446799,0.4,0.08823529411764705
baseline_default,1.0,1.0,1.3026332044317466,1.0,False,False,0.11515137146026855,0.4,0.3235294117647059
baseline_default,1.0,1.0,1.301314193481667,1.0,False,False,0.11526808879158913,0.4,0.5588235294117647
baseline_default,0.997685137705279,0.9992277830099019,1.2961620215037757,0.9996138169288111,False,False,0.1157262730364323,0.4,0.7941176470588235
baseline_default,1.0,1.0,1.3040291911656616,1.0,False,False,0.1150280998433142,0.6000000000000001,0.00980392156862745
baseline_default,1.0,1.0,1.3040637019054955,1.0,False,False,0.11502505573985403,0.6000000000000001,0.24509803921568626
baseline_default,1.0,1.0,1.302807813530533,1.0,False,False,0.11513593827282073,0.6000000000000001,0.4803921568627451
baseline_default,0.9980669953033678,0.9993552494456303,1.2967940792141293,0.999677572737947,False,False,0.11566986802631113,0.6000000000000001,0.7156862745098039
baseline_default,0.9918788107895545,0.9972855747566219,1.2866020855996787,0.9986418650207642,False,False,0.1165861626363568,0.6000000000000001,0.9509803921568627
baseline_default,1.0,1.0,1.3060920257757573,1.0,False,False,0.11484642509084078,0.8,0.16666666666666666
baseline_default,1.0,1.0,1.3044861710187445,1.0,False,False,0.11498780388208853,0.8,0.4019607843137255
baseline_default,0.9988461927029875,0.9996152495389294,1.2980851087352974,0.9998076062599381,False,False,0.11555482686812615,0.8,0.6372549019607843
baseline_default,0.9907618447226374,0.996911082367345,1.2847738940952442,0.9984543465419021,False,False,0.11675206095749019,0.8,0.8725490196078431
baseline_default,1.0,1.0,1.3086165700979047,1.0,False,False,0.11462486676962809,1.0,0.08823529411764705
baseline_default,1.0,1.0,1.3066847142993439,1.0,False,False,0.1147943328321793,1.0,0.3235294117647059
baseline_default,1.0,1.0,1.3001022542465743,1.0,False,False,0.11537554027773522,1.0,0.5588235294117647
baseline_default,0.9912611304667254,0.9970785158792007,1.285590668435826,0.9985381893876119,False,False,0.11667788486867636,1.0,0.7941176470588235
baseline_default,1.0,1.0,1.3110645640134935,1.0,False,False,0.11441084147741193,1.2000000000000002,0.00980392156862745
baseline_default,1.0,1.0,1.3092948344061925,1.0,False,False,0.11456548674770403,1.2000000000000002,0.24509803921568626
baseline_default,1.0,1.0,1.3027795925912273,1.0,False,False,0.11513843235880764,1.2000000000000002,0.4803921568627451
baseline_default,0.9928995835283262,0.9976275699742206,1.288275882982849,0.9988130805277475,False,False,0.11643468761729274,1.2000000000000002,0.7156862745098039
baseline_default,0.9809564790660661,0.9936114286950122,1.268872998463201,0.996800595741842,False,False,0.11821514066551413,1.2000000000000002,0.9509803921568627
baseline_default,1.0,1.0,1.311938161113455,1.0,False,False,0.11433465726211782,1.4000000000000001,0.16666666666666666
baseline_default,1.0,1.0,1.3058875261793157,1.0,False,False,0.11486440983080728,1.4000000000000001,0.4019607843137255
baseline_default,0.9952091908343832,0.9984005063399393,1.2920738250631827,0.9991999330844263,False,False,0.11609243766908207,1.4000000000000001,0.6372549019607843
baseline_default,0.9812791585809972,0.9937203643187948,1.2693920858519905,0.9968552368973854,False,False,0.11816679942456314,1.4000000000000001,0.8725490196078431
baseline_default,1.0,1.0,1.3141785310047391,1.0,False,False,0.11413974316360147,1.6,0.08823529411764705
baseline_default,1.0,1.0,1.309097837496896,1.0,False,False,0.11458272690054433,1.6,0.3235294117647059
baseline_default,0.9978344204051408,0.9992776183733235,1.2964090676011735,0.9996387439271607,False,False,0.11570422002489873,1.6,0.5588235294117647
baseline_default,0.983912182292301,0.9946083738118757,1.2736383521750907,0.9973005430075209,False,False,0.1177728353922708,1.6,0.7941176470588235
baseline_default,1.0,1.0,1.3156103792002238,1.0,False,False,0.11401551885839248,1.8,0.00980392156862745
baseline_default,1.0,1.0,1.3120645651589875,1.0,False,False,0.11432364228342982,1.8,0.24509803921568626
baseline_default,1.0,1.0,1.300855998985282,1.0,False,False,0.11530868913777222,1.8,0.4803921568627451
baseline_default,0.9875302546904043,0.9958260186118375,1.2795041392691167,0.9979108267652623,False,False,0.1172329149991524,1.8,0.7156862745098039
