t,source_integral,heat_loss_surface,reactant_supply_surface,reactant_inventory,heat_inventory,J_min,J_mean,J_max,phi_min,phi_mean,phi_max,theta_min,theta_mean,theta_max,u_min,u_mean,u_max,A_min,A_mean,A_max,D_over_D0_min,D_over_D0_mean,D_over_D0_max,M_over_M0_min,M_over_M0_mean,M_over_M0_max,geometric_skin_thickness,functional_skin_thickness,A_functional_skin_thickness,D_functional_skin_thickness,M_functional_skin_thickness,surface_q,surface_n,surface_h,mean_abs_internal_h
0.0,0.0,1.9803921568627454e-05,0.6894983400189968,0.0260125,5e-05,1.2950023714014331,1.3000000000000003,1.304997628598567,0.11494273760564956,0.11538546883058841,0.11582990372262572,9.80392156862745e-07,5e-05,9.901960784313727e-05,0.015002371401433174,0.02,0.02499762859856683,0.9969838832501374,0.9990403212534126,1.0,0.998993615178172,0.9996798539634294,1.0,0.9994966809113657,0.9998398953190375,1.0,0.0,0.0,0.0,0.0,0.0,-0.0009412736463271787,-0.6894983400189968,1.9803921568627454e-05,2.0000000000000005e-05
0.2,0.0,1.2455519980382615e-05,0.3733527897773453,0.11785254143178672,4.703739761304795e-05,1.2971767232810596,1.3001366285952456,1.303448664684905,0.11507933075082855,0.11537284687762366,0.11563574747208863,2.256983545150485e-05,4.703739761304795e-05,6.641407175543032e-05,0.022568825587399692,0.09078942610980542,0.46663887174664953,0.9982980479642356,0.9994177647626571,1.0,0.9994323604688627,0.9998058302919217,1.0,0.9997161399421359,0.9999029037292295,1.0,0.0,0.0,0.0,0.0,0.0,-0.0005151041523036581,-0.3733527897773453,1.2455519980382615e-05,9.788064464118315e-06
0.4,0.0,9.987516110403836e-06,0.30441176246868984,0.18482873782994455,4.48150492157962e-05,1.2983107183406355,1.3002172301413373,1.302392063221692,0.11517269203019331,0.11536548878631571,0.11553474671434143,3.134607792545644e-05,4.48150492157962e-05,5.463422151391362e-05,0.02389876653558616,0.14229690286099822,0.5651260536161573,0.9989822516657538,0.9996598318309771,1.0,0.9996606353884243,0.9998865786133743,1.0,0.9998303032942862,0.9999432853060656,1.0,0.0,0.0,0.0,0.0,0.0,-0.0003081282412488173,-0.30441176246868984,9.987516110403836e-06,5.708896048271732e-06
0.6000000000000001,0.0,8.459817223044508e-06,0.2652457338915298,0.2415030683788425,4.298139576319688e-05,1.2990158465332515,1.3002650469117527,1.3016879947674966,0.11523498764908907,0.11536115978433321,0.11547203246235409,3.65281551997924e-05,4.298139576319688e-05,4.7641476025074935e-05,0.02905448246490317,0.1858482166349984,0.6210775230121003,0.9994072899048465,0.9998124748421976,1.0,0.9998023909176,0.9999374813326816,1.0,0.9999011905766607,0.99996873938098,1.0,0.0,0.0,0.0,0.0,0.0,-0.00017987305967812062,-0.2652457338915298,8.459817223044508e-06,3.3569649899675257e-06
0.8,0.0,7.451681690740536e-06,0.23869064958708294,0.29174897410979395,4.139686470576026e-05,1.2994615801977847,1.3002922847636538,1.3012262774648606,0.11527587676160399,0.1153587067159544,0.11543242392527621,3.725840845370268e-05,4.139686470576026e-05,4.3586029721948345e-05,0.04204190317582385,0.22445470044184537,0.6590133577327386,0.9996758096075301,0.9999071570291965,1.0,0.999891924854859,0.9999690495616654,1.0,0.999945960967175,0.99998452443313,1.0,0.0,0.0,0.0,0.0,0.0,-9.861484434979528e-05,-0.23869064958708294,7.451681690740536e-06,2.1602030706471006e-06
1.0,0.0,6.760139272459478e-06,0.21901656270464795,0.33743210229467385,3.997979154108904e-05,1.299744556106777,1.3003064496355718,1.3009241986240672,0.1153026441960636,0.11535743447675476,0.115407292375439,3.380069636229739e-05,3.997979154108904e-05,4.152546626571588e-05,0.06197734973233792,0.2595596690562516,0.6871191961362172,0.9998462160816315,0.9999634020234636,1.0,0.9999487360656683,0.9999878001556003,1.0,0.9999743677042939,0.9999939000129368,1.0,0.0,0.0,0.0,0.0,0.0,-4.6922242740804476e-05,-0.21901656270464795,6.760139272459478e-06,1.7649206890574848e-06
1.2000000000000002,0.0,6.266521931143731e-06,0.20359476268550392,0.37963661549476085,3.86797134105789e-05,1.2999231693242748,1.3003123044729825,1.3007257527139024,0.11532023540475933,0.11535690833522572,0.11539143507840767,3.1332609655718654e-05,3.86797134105789e-05,4.092667382643953e-05,0.08686406335019661,0.2919976496428404,0.7091503390207087,0.9999537502024972,0.9999929038365774,1.0,0.999984583163131,0.9999976345822212,1.0,0.9999922915518524,0.9999988172873641,1.0,0.0,0.0,0.0,0.0,0.0,-1.4119596079553709e-05,-0.20359476268550392,6.266521931143731e-06,1.957189090827059e-06
1.4000000000000001,0.0,5.898091791072063e-06,0.19098976379690716,0.4190565619684874,3.746489831314662e-05,1.3000355466531643,1.300312900439334,1.3005942996216646,0.11533189100062496,0.11535685250580723,0.11538146044249542,2.9490458955360313e-05,3.746489831314662e-05,4.067528462533299e-05,0.11486325624382525,0.3223009298739946,0.7271574802901326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.556966152829191e-06,-0.19098976379690716,5.898091791072063e-06,2.2817044366744272e-06
1.6,0.0,5.609608161313136e-06,0.18033235742177733,0.45616161470000427,3.631518657532533e-05,1.3001055764964928,1.300310197562487,1.3005061225550654,0.11533971074684331,0.11535709095818245,0.11537524545061793,2.804804080656568e-05,3.631518657532533e-05,4.0074814516900585e-05,0.144585875422079,0.35082894705858186,0.7423823465403181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.9441134685133088e-05,-0.18033235742177733,5.609608161313136e-06,2.453461836908321e-06
1.8,0.0,5.372797986541936e-06,0.1710645250243531,0.49128162256793567,3.521763778995814e-05,1.3001483976506705,1.3003054551614301,1.3004459224386995,0.1153450500415335,0.1153575110619002,0.11537144549887193,2.6863989932709678e-05,3.521763778995814e-05,3.926908567977822e-05,0.17505905809492603,0.37783389188596916,0.755622107108067,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.7318953829361114e-05,-0.1710645250243531,5.372797986541936e-06,2.5306395324019826e-06
